id_produk,barcode,nama_produk,jenis,merk,varian,berat,satuan,harga_beli,harga_jual,status,Jumlah,expired_date
113,K1-PTH-PCH-L,Cargo,Plastik,PetHouse,Peach,NULL,NULL,170000,185000,available,1,NULL
114,K2-PTH-GLXY-L,Cargo,Kain,PetHouse,Galaxy,NULL,NULL,170000,185000,available,1,NULL
115,K2-PTH-ASTNT-L,Cargo,Kain,PetHouse,Astronout,NULL,NULL,170000,185000,available,1,NULL
116,LB1-PTH-PJG-S,Litter Box,Plastik,PetHouse,panjang,NULL,NULL,15000,20000,available,1,NULL
117,LB1-PTH-PJG-M,Litter Box,Plastik,PetHouse,panjang,NULL,NULL,20000,25000,available,3,NULL
118,LB1-PTH-PJG-L,Litter Box,Plastik,PetHouse,panjang,NULL,NULL,25000,35000,available,4,NULL
119,LB1-PTH-PJG-XL,Litter Box,Plastik,PetHouse,panjang,NULL,NULL,30000,40000,available,3,NULL
120,LB1-PTH-PJG-XXL,Litter Box,Plastik,PetHouse,panjang,NULL,NULL,35000,45000,available,2,NULL
121,LB2-PTH-LF-XL,Litter Box,Plastik,PetHouse,LowFooting,NULL,NULL,50000,60000,available,1,NULL
122,LB2-PTH-LF-XXL,Litter Box,Plastik,PetHouse,LowFooting,NULL,NULL,55000,65000,available,1,NULL
123,LB3-PTH-WD-XL,Litter Box,Plastik,PetHouse,With Door,NULL,NULL,65000,75000,available,1,NULL
124,,,,,,,,,,,,
